"Precursor.Id","Protein.Group","Genes","Precursor.Charge","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"Frac3_PEP0011_2","SYN0001","GENE0001",2,82468.1,96944.8,68673.5,51445.6,71048.6,68822.7,71549.4,69284,103295.4,81395.4,66385.1,72448.5,44085.2,58091.1,49612.6,35485.1,40655.9,37757.1,51587.5,21327.2,31837.4,34728,22118.6,28884.3,31794.9,36831.6,34147.9,46857.9,33156.5,36113.2
"Frac3_PEP0012_2","SYN0096","GENE0096",3,1355200.9,1262684.9,1145525.5,997353.2,1122644.3,1115951.4,856128.8,1393695.5,1101795.8,815664.4,876568.5,700208,1090451.3,771400.4,1040978.8,765091.6,1047432.5,819079.3,964695.4,1064040.4,778316,942466.5,756553.3,1068687.3,888829.5,853939.5,737073.5,1310817.9,740748,689087
"Frac3_PEP0013_2","SYN0049","GENE0049",4,536292,291341,307294.5,341699.5,280378.7,307305.8,NA,497176.7,413746.5,393293.9,384869.9,305658,525850.9,300598.6,370896.1,372514,596323.7,475872.6,346363.3,770400.5,NA,507884.2,520494.8,588107.5,565898.9,565433.8,654102.3,364274.9,308909.3,774061.1
"Frac3_PEP0014_2","SYN0052","GENE0052",3,581115.8,NA,837081.7,656228.9,NA,774334.3,505543.8,NA,524298,659781.5,NA,940098.5,NA,745409.9,NA,306850.7,440882.5,305137.6,NA,665145.2,414536.6,NA,312942.8,350266.7,NA,463936.7,737239.1,383086.5,NA,626047.2
"Frac3_PEP0015_2","SYN0013","GENE0013",4,2222205.7,2162289.6,NA,NA,2083882.5,2527409.6,2066479.8,NA,NA,2252604.8,1415420.8,1244363.3,NA,NA,2506318.2,1390897.4,867073.9,1826261.7,1375106.5,1684991.1,NA,NA,NA,NA,1593372.5,NA,1169824.6,NA,NA,NA
"Frac3_PEP0016_2","SYN0085","GENE0085",2,NA,2320673.6,1517946.9,1436201.6,1443218.6,2501884.5,1539658.9,2173142.8,1844949.9,1503975.5,2762117.3,1138498.5,2738594.6,2671300,1534294.3,1437051.6,1249664.6,663451.1,943612.2,707808.1,879191.3,1307353.1,1197273.9,911084.1,NA,888160.7,663813.6,1095421.9,766913.2,946580.9
"Frac3_PEP0017_2","SYN0057","GENE0057",4,1077322.7,1149442.8,885899.8,1323347.4,979966.3,1164041.2,1102922.8,1000302,595091.9,1161255.1,1107885.5,895858.4,788407.6,1278165.8,845175.2,651276.7,840760.3,NA,941616.7,711060.3,1101094.5,928825.8,685433.2,662047.6,973617.7,803224.2,641332.9,835567,1011947,991406.9
"Frac3_PEP0018_2","SYN0090","GENE0090",3,5888095.6,5737320.6,2412662.4,3367477.9,6120676,4806124.9,2170782.1,3561235.2,4484417.1,3661125.3,5971683.4,4159756.6,5189843.9,3273903,2613089.3,2800979.6,3148672.1,2931072.1,3057536.9,2830558,3479225.5,1769292.2,3423250.2,2386654.8,2406050.5,2660506.7,3130591.9,2342026.3,2178818,3281970.1
"Frac3_PEP0019_2","SYN0123","GENE0123",3,1186873.8,1286262.3,1031141.1,1765061.1,843694.5,1223936.3,1785823.5,724101.1,1053575.6,1408972.6,1762475.3,1014783.8,1060218.7,1194944.4,1431155.6,1031728.3,794030,687167.7,619150.3,603981.1,587201.6,700992,565833.4,651485.8,453613.8,654265.7,559005.9,756319.3,692226.7,906798.4
"Frac3_PEP0020_2","SYN0079","GENE0079",3,1115212.6,1309130.1,1554640.3,1343154.9,1804750.5,2179483.6,1461809.9,1708779.7,1529734.7,1428551.7,1007302.6,1985992.9,1986126,1487450.9,1073317.3,1592432.6,2026901,3250156.5,2759965.3,4170733.1,1544758.8,2289763.9,2560214.6,1990004.9,1599112.8,2370690.7,1551760.2,2811464.9,2568799.8,2073921.6
"Frac3_PEP0021_2","SYN0060","GENE0060",4,731813.7,1209232.6,2030623.5,804116.3,1540414.9,NA,NA,NA,690268.5,NA,734200.5,1424067.3,1341452.4,759753.2,722938.6,NA,NA,NA,NA,NA,832713.4,592531.7,669532.4,776725.7,1006012,1134405.3,NA,NA,NA,880702.3
"Frac3_PEP0022_2","SYN0010","GENE0010",4,NA,822756.7,773035.6,781614.1,690668.8,372175.1,220362.3,538997.4,369042.1,324071.7,671118,498314.8,NA,774400.1,756477.4,256880.4,275510.2,NA,327192.3,244264,747221.9,789726.5,783427.4,515674.2,894808.7,321218.6,NA,268191.1,354592.2,NA
"Frac3_PEP0023_2","SYN0102","GENE0102",4,3449398.1,2499684.1,3258200.3,3966708.6,3558291.8,2822564.8,2938655,3838428.8,2691677.3,3489418.5,5301232,2856905.4,3687303.6,3077861.7,2369449,2981122.4,3868737.6,2653861.9,3069065.6,2774076.3,3067380.1,3612464.2,3789543.9,2142532.7,3858696.2,2290192.6,2660276.9,3641198.3,3785668.9,3962820.4
"Frac3_PEP0024_2","SYN0018","GENE0018",4,2708090.1,NA,2235246.1,2453343.9,2267138.8,3427290.7,2197169.4,2071873.4,2628036.2,2048733.5,2859078.1,NA,2345998.3,3499708.2,2090771.9,1701178.5,2179687,1408178.5,1786260.2,2390500.2,1961125.8,2800723.8,1710091.8,3683810.2,2141003,2405307.6,2342543.4,1410497.6,2172815.5,2238576.3
"Frac3_PEP0025_2","SYN0038","GENE0038",2,2293571.6,3903716.7,3406280.4,2415069.8,2761305.1,567610.4,1184338.6,1067160.7,768928,1310740.9,2679003.7,3222220.1,3620452,2059738.7,2900601.5,314697.6,257499.3,313543.1,NA,364849.3,742862.5,814211.2,885468.2,683043.7,1187253.7,240193.5,403305.7,279304.8,371590.7,422779.2
"Frac3_PEP0026_2","SYN0087","GENE0087",2,509843.9,264305,569903,778690.1,799292.2,298312.6,388375.7,351889,265341.4,247745.1,381110,433221.4,547825.2,609349.9,606612.2,491494.7,NA,NA,NA,NA,1188171.8,763127.5,1164530.8,800185.4,868820.7,318275.7,NA,NA,NA,261364
"Frac3_PEP0027_2","SYN0130","GENE0130",4,1337305.1,1779557.4,2126803.7,1349771.5,920045.8,1096292.9,1117281.6,2022167.1,1433682.8,2327528.8,2104024.1,1521125.6,2073580.1,1665051.4,1219831.5,870001.1,1332172.2,NA,1372343.1,1203031.6,2013749.4,1803661.2,1473857.6,986697.9,1148158.9,2131041.8,1568458.3,864090.9,1697075.4,895683.5
"Frac3_PEP0028_2","SYN0057","GENE0057",2,5297851.1,6195082.7,5436144.6,4768758.6,6324001.3,NA,NA,NA,NA,NA,9785783,5417143.3,7967419.8,6532215.9,6616129.9,NA,NA,5634748,NA,7336065.9,3584067.4,5026110.7,7764756.2,3491213.8,3946947.3,4762826.6,NA,4499346,5610961.4,4747322.1
"Frac3_PEP0029_2","SYN0015","GENE0015",3,1443765.4,2424073,1461298.6,1764197,2430171.1,1102236.1,1428949.2,2106790.8,989126.4,1590008.1,NA,1586697,1858861.5,1719851,2055292.4,188065.8,169751,241719.6,122138.8,164432.1,297395.3,551600.8,511210.3,275588.1,297000.4,159967.9,305085,195368,223027.4,181693.5
"Frac3_PEP0030_2","SYN0046","GENE0046",4,207320.4,188673,221295.9,248416.8,299150.9,232920.5,216192.3,218872.1,136149,NA,187240.5,NA,345010.4,230726.3,171122.3,457223.5,328356.1,280127.8,404618.9,243478.4,NA,346473.1,311560.9,478464.3,448126.9,249854,331698.8,274240.9,NA,258439.5
"Frac3_PEP0031_2","SYN0029","GENE0029",4,211341.6,201089.2,278853.6,366601.7,225000.8,NA,211181.1,191466.3,NA,278872.6,246107.2,222019.8,375283,234041.5,165160.6,232319.7,135210.7,NA,206512.3,NA,167466.2,152610.7,171959.3,124227.4,268780.7,NA,NA,NA,285701.5,NA
"Frac3_PEP0032_2","SYN0087","GENE0087",4,4669802.9,3948134.6,4597914.4,4599453,5866854.8,NA,976959.6,NA,NA,NA,4295596.3,7568238.9,5061268.4,7717725.2,4823478.8,NA,NA,NA,NA,NA,5934046.4,4100381,NA,2553922.7,3322960,NA,NA,1382331.9,NA,NA
"Frac3_PEP0033_2","SYN0084","GENE0084",4,280524,234562.4,405709.5,267501.8,236252.1,379891.2,NA,417311.7,NA,230801.9,133187.4,402612,241096.7,NA,278900.1,402291,496435.2,300522.1,355295.7,NA,438266.5,273996.7,351728.3,NA,NA,NA,NA,344558.6,240485.7,253692.1
"Frac3_PEP0034_2","SYN0103","GENE0103",4,17805386.4,17567802.9,13941779.9,14190350.8,11189820.7,17687367.8,NA,NA,NA,14643876.3,15053398.8,19296953.6,9893045.6,12687679.2,11378708.8,NA,NA,NA,NA,13447673.6,21227575.8,28027646.1,15959021.8,15614891.9,11921989,21192435.9,NA,NA,NA,21138886.6
"Frac3_PEP0035_2","SYN0121","GENE0121",2,NA,2906309,3560003.1,2592215.9,2100292.7,1936514.4,3980557.3,2552995.6,NA,NA,1825479.5,4281354.3,2958787.8,3643260.8,2826766.8,2233330.4,1805965.3,2650013.8,3037817.6,1643526.6,1787291.2,2275056.5,3371663.9,2010786.8,2131607,2716848.7,2811226.4,1867124.8,2569747.6,2505263.1
"Frac3_PEP0036_2","SYN0018","GENE0018",2,821924.8,714192.8,425571.2,412252.6,552222,2665849.2,3400853.1,3984564.1,2416066.8,NA,561493.9,636528.7,569524.6,498026.2,1015864.2,1591575.5,1308774,1714285.8,1429396,1756240.4,271535.6,265801.2,199704.2,228885.1,225477.5,1413604.4,2145968.3,2453636.3,1622798,1422346
"Frac3_PEP0037_2","SYN0107","GENE0107",4,NA,11290366.3,14819743.1,9403023.3,11642157.3,47543255.9,43213356.2,50809460.7,35848265.9,25591767.4,18470129.7,18864962.1,15279887.2,13823550.5,18922219.1,44597126.4,NA,43495318.8,49344617,42114935.1,13896931.4,14565066.2,12321420,18518162.2,25206250.9,34179364.5,32890282.3,39213810.2,51496201.7,43343279
"Frac3_PEP0038_2","SYN0083","GENE0083",3,327596.8,191207.4,283635.6,206167.7,149748.5,261136.7,183256.6,192811.6,361609.5,179732.6,205195.6,296338.5,195233.2,215741.3,237063.8,122872.8,174712.3,138222.1,150609.2,136680.7,134180,162739.9,155421.7,152781.8,119703.9,139835.2,190903.1,146371.2,199587.2,112737.7
"Frac3_PEP0039_2","SYN0014","GENE0014",2,1146634,1027677.1,821838.8,871203.5,1159518.8,836167.1,774502.2,1449676.9,798565.8,885976.1,NA,722979.2,1048886.6,942856.9,876513.2,615105.5,453271.3,750293.7,616584.9,595125.4,648230.4,338243.7,368560.7,426518.5,719339.3,607141.5,414534.9,640856.7,1015569.9,756823.7
"Frac3_PEP0040_2","SYN0031","GENE0031",2,572120.9,1641679.3,885705.7,NA,1102671.7,1112691.2,NA,NA,1111646.4,720532.4,792008.6,637392.1,781008.3,713315.8,1345848.6,NA,NA,NA,NA,NA,1569799.9,1968700.6,1564931.2,1789342.1,1788142.1,NA,NA,NA,1924945.8,NA
"Frac3_PEP0041_2","SYN0111","GENE0111",3,178451.7,138684.6,212969.5,170110.5,118936.2,165241.7,109477.8,161946.4,206446.6,244970.8,168877.5,186409.8,174536.7,197227.2,189850.8,452573.8,488472.4,325799.8,435064.8,378252.3,482190.3,318161.8,334835.2,384365.7,211908.9,316857.3,412390.1,320345.8,549520.2,381686.8
"Frac3_PEP0042_2","SYN0072","GENE0072",4,4738189.4,7078626.6,6409251.4,3899775.2,7927817.5,NA,5017410.5,3644959.2,3673421.5,NA,4436643.6,4963988,5736957.1,5445513.2,7487652.4,2571266.8,NA,NA,NA,NA,2977084.1,2692933.8,2401208.7,4189669.2,4022289.8,NA,NA,NA,NA,NA
"Frac3_PEP0043_2","SYN0008","GENE0008",3,1733019.6,2065163.7,1553174.4,1712820,1414157.6,3071118.5,3679998.8,1342088.9,2243144.7,2560401.8,1768835.9,2264890.2,1611510.1,2178026.8,1904199,1660641.9,2009704.4,1579081,813434.1,1513398,NA,1157724.3,875537.7,1024764.7,1816272.7,1850596.6,1514526.5,1325673.5,1536725.2,1647419.7
"Frac3_PEP0044_2","SYN0094","GENE0094",3,4102223.2,2939869.6,3031726.4,3718057.4,4281404.3,NA,NA,NA,NA,NA,4978992.7,NA,3046502.6,NA,4084200.5,NA,NA,NA,NA,4449024.7,1494702.2,1338081.8,2671144.9,3910839.7,2199625.7,NA,NA,NA,3403607.8,5141435.2
"Frac3_PEP0045_2","SYN0106","GENE0106",3,354656.5,271703.1,261699.3,311189.7,353159.2,340351.5,245637.4,378127.2,419267.7,530421.2,294703.3,265883.3,330181.1,380952.5,NA,404341.9,483600.5,305261.9,233762.7,428397.9,265108.5,301383,526492.5,389528.9,283962.5,250836.6,NA,336487.6,349851.5,421407.1
"Frac3_PEP0046_2","SYN0017","GENE0017",4,256729.7,249917.6,180912.9,183738.3,233514.3,549287.4,844328.2,826862.2,708387.8,670490.6,286008.8,142908.3,277347,312722.3,414707.9,380906.9,394590,550657.5,536158.1,810801.3,268835,346771.1,347374.4,213467.8,382154,466703.7,787334.6,609617.6,464812.9,826722.3
"Frac3_PEP0047_2","SYN0024","GENE0024",3,694607.4,736298.6,857480.6,862652.7,765919.2,792059.6,1070016.3,979734.6,1292226,601299.5,971647.4,531087.2,937048.8,1092972.4,611987.4,1150867.2,1030269.6,882052.6,671167.5,NA,770600.7,655380.6,933346.6,892424.2,832425.7,1091085.4,699862.1,1023987.8,827093.6,1028491
"Frac3_PEP0048_2","SYN0076","GENE0076",3,164661.4,145349.4,128579.8,116745.3,137624.9,118528.9,168491.2,226582.6,141095.9,124728.1,126272.5,245816.2,141029.8,208956,118501.9,172405.8,129768.3,135610.1,147424.9,NA,180105.2,188805.9,79587.4,93856.6,104513.9,205860,139950.8,137994.5,151662.9,108070.9
"Frac3_PEP0049_2","SYN0022","GENE0022",3,1226588.9,1588092.9,992163.6,824292.4,1087021.1,898825.3,1416343.8,1335104.2,1387126.5,990052.8,885309.4,1301354.4,995180.7,810700.6,935692,689548,715496.9,511632.3,551075,642911.7,840781,1018406.5,767126.1,1184423.8,NA,712582.6,763407,807613.9,633533.8,720491.4
"Frac3_PEP0050_2","SYN0075","GENE0075",4,1719310,3137808.9,3571772.1,2852729.7,4011101.3,NA,3174718.9,3740886.5,3305363.6,4114986.4,3210867,3334998.1,2873023.2,2449081.6,3644906.7,1044067,1178320.2,1461411.7,1471042.5,1054444.7,1737930.9,1411420.1,884633.5,1147398.5,929648.2,1183597.1,992846.1,1377738.1,1277457.3,1211958
"Frac3_PEP0051_2","SYN0083","GENE0083",3,160509.1,196036.1,145067.8,96781.5,145750.8,145549,88321.1,173312,115999.1,152528.6,122566.3,130317.6,120799.7,137508.6,153703.2,99045.5,104166.2,162333.5,111883,95167.3,128312.7,112168.7,176190.5,140991.5,138004.3,153176.3,150968.5,129521.3,115807.9,92477.9
"Frac3_PEP0052_2","SYN0125","GENE0125",2,118179.3,148700.6,189422.8,138880.5,229505.9,214858.1,207244.3,NA,149706.2,194406.2,155212.7,133094.8,157283.9,132556.3,131413.6,227524.5,154063.2,316219.1,195123.5,129634.1,169673,233480.5,155037.5,155191.7,254876.4,244343.8,296087.7,286636.1,236517.8,196688.9
"Frac3_PEP0053_2","SYN0132","GENE0132",4,NA,377988.8,NA,381768.1,427986.7,539705.3,229510,NA,473976.5,250547.3,NA,330727.4,413243.7,NA,355683.1,590460.6,620980.4,NA,418883.9,455436.9,475693.1,504982.6,612152,NA,511294,848865.2,574730.4,NA,551840.9,543933.1
"Frac3_PEP0054_2","SYN0045","GENE0045",4,NA,NA,NA,1843409.8,1879754.1,5166324.8,4703990.1,NA,3234558.3,6380013.8,2218526.8,2686230.9,NA,2262493.4,1474085.8,8672730.3,NA,6673502,NA,5851562.3,NA,1660311.7,NA,1743601.7,2249760.2,6604454.2,NA,8165311.6,4380428.5,NA
"Frac3_PEP0055_2","SYN0093","GENE0093",4,3398793.4,3088680.8,6095303.6,5309659,2493397.5,5266658.3,3826184.4,6524724.7,5597916.4,4357916.6,4643187.7,4676767.9,4521079.4,5123003.3,4368789.2,2957815.2,3415809.3,3503360.9,3415177.6,3493168,2997097.2,2982182.8,2719979.7,3166350.9,4088773.5,5486599.5,3814845.8,3750665.1,3607456.9,3715068.8
"Frac3_PEP0056_2","SYN0111","GENE0111",3,2138132.2,1686563.3,1279598.5,1056171.8,1556279.2,1695681.4,1485263.1,1248235.2,1753222.4,3023407.3,1329797.5,1462704.2,1624828.1,1732630.9,2031537.8,1458435.3,1430961,1197597.5,1057686,1338443.6,1490138.9,1628763.4,1002162.2,1101498.2,1446960.6,1624401.1,1218084.3,842240,1319619.9,1461035.3
"Frac3_PEP0057_2","SYN0046","GENE0046",3,1102984.9,806780.5,848338.6,1040339.5,799451.5,525989,573359.9,1053088.7,742087,686898.3,774590.2,784001.7,1186532.5,551226.9,591767.2,802086.7,454296.5,576694.6,349150.5,392969.1,NA,365281,411631.1,586347.7,515587.2,661226.8,595841.3,648608.1,710122.2,890203.1
"Frac3_PEP0058_2","SYN0057","GENE0057",3,5525244,3477913.8,3625673.7,2771606.2,4631577.1,NA,NA,NA,NA,4551230.2,NA,6306074.7,3532910.7,7426047.8,4767884,4417907.3,3049365.6,NA,NA,6319422.1,4085431.1,NA,7165201.9,6145811.7,4867579.3,NA,NA,NA,NA,NA
"Frac3_PEP0059_2","SYN0078","GENE0078",3,941140.2,605994.9,476984.1,478216.4,465259.6,NA,809572.7,NA,894084.6,NA,669442,1013866.5,486013.8,1049098.8,372990.3,NA,314046.7,NA,NA,NA,NA,209643.3,320567.7,281124.7,320339,NA,452958.2,NA,NA,237737
"Frac3_PEP0060_2","SYN0092","GENE0092",2,461783.6,267306.2,533870.9,478029.9,441098.4,238780.6,395151.1,293378.4,255240.8,216700.4,405376.6,386077.9,284281.8,513081.2,389141.4,189183.3,142695.5,142754.9,135866.7,122794.6,180104,228368.5,202832,237369.9,266053.8,116098.2,99411.5,108797.4,132443.4,NA
"Frac3_PEP0061_2","SYN0122","GENE0122",4,182912.6,185573.8,157750.4,190253.2,178389.1,398038.4,423098.9,386190.5,NA,NA,179706.4,317845.8,126316.2,144062.4,178774.3,1449954,1793145.4,1238042.1,1221970,1508674.6,775971.7,706181.2,506887.5,413033.6,714512.2,1736865.1,1390509.8,1586868.2,1209200.3,2254363.5
"Frac3_PEP0062_2","SYN0050","GENE0050",3,330403.4,346033.2,NA,NA,228796.1,195053.7,373814.9,282563.3,245072.9,NA,220742.4,256488.9,416188.6,250029.5,298267,83350.6,166922.8,110000.1,172430.6,85778.1,151979.1,134813.4,NA,NA,142964.7,196933.8,92600,80135.8,143064.9,105345
"Frac3_PEP0063_2","SYN0053","GENE0053",3,417061.1,197914,308717.9,300407,298452.4,343565.3,345037.2,NA,NA,NA,250859.9,168980.5,253314.3,272810.2,276907,NA,876543.3,NA,NA,NA,783782,614951.3,487405.3,554344,NA,570403.3,NA,NA,591646,NA
"Frac3_PEP0064_2","SYN0040","GENE0040",2,238656.9,175883.3,211288.1,307778.5,138824.8,221414.6,NA,NA,122902.6,NA,152760.1,191306.3,104946.2,143957.9,189550.7,NA,NA,NA,88732,81940.6,118270.2,94861.6,106901.9,79055.1,94853,NA,112331.3,NA,123296.9,NA
"Frac3_PEP0065_2","SYN0019","GENE0019",2,3328762.8,2501294.2,2436731.3,1344997.3,2674704.8,2180077.7,2522317.9,1880193.1,1832378.2,1714538.5,2026144.6,2188202.2,3022057.4,1708009.8,1612001.3,1671443.5,1657173.2,1073496.5,1206435.4,NA,974923.1,1289621.9,1165991.9,1570513.5,NA,NA,1237109.6,1786328.2,1185046.7,1336596
"Frac3_PEP0066_2","SYN0056","GENE0056",3,331780.9,424761.1,489568.5,442848.3,360317,336763.6,442736.9,602890.7,409421.4,505975.2,526379.9,497100.8,275581.9,416797.3,NA,690003,474942.5,568247.4,394651.7,263754.3,530592.2,220025.5,391751.8,347038.6,335558.7,405579,515245.7,366860.3,484036.4,563569.4
"Frac3_PEP0067_2","SYN0128","GENE0128",3,1969729.4,2371668.8,1598302.1,NA,2763412.3,1721898,NA,2943515.7,2047426,3078579.5,2472188,NA,NA,NA,2722699.3,1480902.4,NA,512774.8,1094369.4,NA,979066.9,1135787.8,NA,1351145.1,NA,872046.8,1347374.9,1304409.9,1106441.8,NA
"Frac3_PEP0068_2","SYN0085","GENE0085",3,671819,681081.8,440489.6,609182.9,507067.9,639335.7,487362.5,512170.8,927467.5,690006.1,644812.6,546111.9,653622.4,672070.8,592066.3,400892.3,330931.4,251279,229285.6,326109.6,305841.8,488176.6,264250.2,354998.7,225831.9,229368.2,300936.5,312648.7,261146.7,241386.2
"Frac3_PEP0069_2","SYN0097","GENE0097",4,1944983.7,NA,1344499.5,1503278.4,1574891.2,1429253.8,1581708,1728823.7,1293249.2,662740.3,1112910.2,NA,1483740.9,NA,1523367.7,1836421.4,NA,NA,1628770,1962367.1,1245539.1,1745103.9,1913041.3,1152997.3,1337907.6,1864615.7,1467292.5,1872620.8,NA,1098113.3
"Frac3_PEP0070_2","SYN0101","GENE0101",4,6486087.1,4730904.6,NA,6042935.1,NA,3832768.8,NA,3353819.3,8441775.6,NA,6329247.3,NA,8046747.8,NA,NA,NA,11851502.4,12267772.3,12486766.6,13948728,NA,10422501.3,NA,18204065.3,7840923.8,13467057.1,13680855.6,22548458.7,15297022.3,NA
"Frac3_PEP0071_2","SYN0083","GENE0083",2,1606940.8,1090263.7,1681943,1827634.6,1199156.4,1554935.5,NA,1356985.6,2233388.1,1092505.1,1426107.8,865963.1,1277249.7,1598140.6,1519040.9,641955.9,549006.8,768655.2,725157.4,681744.2,434059.5,664738.3,627827,671185.1,897072,465093.2,1148197,851301.6,807059.4,490506.8
"Frac3_PEP0072_2","SYN0123","GENE0123",3,2591797.1,2569142.7,4201837.1,3076369.5,4146787.4,2347768.6,2296171.1,3478343.8,2452476,4000468.7,2306713,2700090.6,3191882,2742462.7,2683412.4,2426277.6,1449473.3,2808972.7,2200994.5,2076291.4,3805323.1,2261957.5,NA,NA,2681948.7,2565713,2182585.6,1750323,2224388.5,1741248.4
"Frac3_PEP0073_2","SYN0126","GENE0126",3,NA,515914.8,NA,NA,NA,637967.2,NA,837649.4,419532.6,NA,723087.2,NA,628796.5,526956.9,513964.8,525069,542895.8,340471.8,NA,407253.7,535685.6,385900.6,464254.2,411191.5,421221.8,NA,368285.5,424672.7,397179.4,357201.4
"Frac3_PEP0074_2","SYN0040","GENE0040",3,1402436.2,1622134.6,1294054.1,NA,1732523.5,1188673.9,1959747.4,1752721.7,1519485.2,2133143.6,1221235.5,983459.8,1180198.5,922049.1,1686089.8,1987563.2,2196499,1813569.4,2162996,1913710.3,2372483.7,1836274.5,1631808.8,1682001.9,1524398.1,1612789.8,2066963.7,1410029.3,1838340.2,1720851.8
"Frac3_PEP0075_2","SYN0089","GENE0089",4,2993827.8,2387616.6,3619919.9,5135323.6,3516177.8,1479387.3,5037054.6,4742954.5,4495503.9,3123277,3253966.1,3648977.9,3458335.2,3186654,3237668.9,NA,NA,2508906.9,NA,NA,2766372.2,2131748.4,3665324.2,3079618.2,2400574.1,NA,NA,3131978.2,NA,NA
"Frac3_PEP0076_2","SYN0070","GENE0070",4,798319.8,605705.6,754963.7,609479.9,570027.8,NA,446864.7,642856.6,913901.3,818612.2,NA,508202.7,789865.8,892143.2,NA,839871.4,644050.3,644664.4,896316.1,596944.1,1188008,1116562.1,868607,899822.8,630590.6,1145566.1,684053.6,654965.2,800845.3,883043.8
"Frac3_PEP0077_2","SYN0020","GENE0020",3,593943.1,385967.3,490072.5,509351.9,455845,471536.3,658843.1,345237.6,518553.7,618572.9,693013.9,575082.7,547014.9,499113.5,601190.5,551141.6,573167,377948.8,548263.5,529541,437414.9,523384.8,293076.6,494877.8,398087.6,540929.7,748554.4,670188.5,523119.5,362967.3
"Frac3_PEP0078_2","SYN0003","GENE0003",2,378173.2,694424.9,562324.2,707756,441226.6,563771.1,628212.2,643083.1,539929.6,488481,608134,535897.9,480499.3,497025.4,680382.3,604468.1,720070.2,552515.7,561662.1,638277.4,512426,464632.2,476445.7,519566.6,676931.3,572293.8,478169.1,431608.8,529548.3,592695.7
