"Compound","Compound_ID","Formula","Description","Retention_time_min","mz","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"PosM1_0037","PosM1_CMP_026","C25H8N1O7","Synthetic feature 37",6.886,544.4038,647850.7,1363267.6,922724.3,938176.8,798388,958745.8,912749.9,1353037.4,869728.3,778381.9,1223718.4,918131,834081,1022318.8,716778.3,1789472.4,938862.5,0,899644.4,1439205.4,0,942287,923852.4,1530278.4,872884.8,1175656.7,1306770.1,1233715.6,948104,1011282.8
"PosM1_0038","PosM1_CMP_003","C23H40N5O3","Synthetic feature 38",5,916.7323,112056.7,101592.8,92081.2,78871,114416.7,813647.2,427612.9,435409.2,579087.4,545069.8,126446.7,138247.6,173271.6,172331.1,147717.7,0,303454.1,500998.3,656222.3,346537.2,93817.3,80903.3,95681.5,140339.4,76734,349039.2,257361.3,438257.7,335585.2,416428.4
"PosM1_0039","PosM1_CMP_037","C17H27N2O6","Synthetic feature 39",10.687,848.1664,596660,535412,617258.4,554818.1,1017020.4,405408.1,628270.4,651792.5,565685,647274.8,705913.6,355356.8,456267.6,731375.2,491720.9,735232.3,1201483.7,1047879.1,695908.1,0,993058.7,848712.9,1700888.5,940575.9,769031.5,1262650.9,1413125.6,1053713.9,804607.4,1169737.6
"PosM1_0040","PosM1_CMP_028","C26H35N2O5","Synthetic feature 40",5.262,326.8696,648713.1,793923.6,500784.5,1027318.9,644768.3,676220.5,861416.8,690963.4,878037.2,581495.3,0,642172.9,768586.2,0,883712.1,4202572.2,0,4358266.2,3593363.6,0,4082796.3,5684624.6,0,3562764.9,5300388.4,4117736.1,0,6252306.8,4809879.6,4869416.4
"PosM1_0041","PosM1_CMP_074","C6H34N3O8","Synthetic feature 41",8.259,658.103,1490279.4,2250064.6,2677391.9,1813372.2,2582993.9,1423444.1,2237647.5,3640045.6,2624147,2754876.8,1569253.7,2146937.9,1720971.6,1720293,2741073.6,3255945.7,2749099.3,4885213.6,2636499.9,2797384.6,3348450.6,3702573.1,2849028.4,2990562,3720506.6,2880415.8,2601554.9,3881145.5,4411165.6,3365893.4
"PosM1_0042","PosM1_CMP_069","C15H43N1O6","Synthetic feature 42",12.661,725.264,685507,891696.5,574942.5,615164.6,348125.1,0,370276.2,0,0,0,629233.8,471473,596743.1,868904.2,648006.7,0,50889.4,75809,0,0,0,164280.4,176470.5,0,87525.8,87360.2,66025.5,0,0,0
"PosM1_0043","PosM1_CMP_019","C30H24N4O9","Synthetic feature 43",0.709,265.4178,384189.2,246274.1,349893.3,398205.8,353554.4,317998.7,346285,300982.8,307509.3,286415.2,341100.8,486747.9,304820,0,263068.9,330085.1,428808.8,523980.3,372233.7,833523.8,552506,375803.5,371043.8,734974.9,397207,311571.1,908173,479810.5,394327.9,518866.8
"PosM1_0044","PosM1_CMP_018","C29H18N3O8","Synthetic feature 44",17.46,271.4849,1036966.6,1261213.4,1553455.8,1466360.7,1327421.8,1193166.6,1274157.1,1359611.7,1238821.9,858185.5,1038320.7,1263175.1,923256.8,1376991.6,990630.6,1724267.7,2439747.8,1676223.1,1277784.7,1411963.2,1845567.6,0,1484403.1,1568537.8,1805000,1337057,2563283.5,1743375.4,1946140.3,2169359.4
"PosM1_0045","PosM1_CMP_055","C18H39N4O3","Synthetic feature 45",16.922,155.6779,1828880.6,3171981.3,1984379.7,3783033.9,2045473.1,1380212.3,953210.5,1189587.4,1301269.7,1092432.7,1924968.3,0,2213259.3,2811076.4,2399194.7,1693582.5,1160378,814962.4,1467102.1,1312227.6,2418777.6,2532587.9,2629434.6,3468924.8,4167026,1567268.7,876614.5,1347935.5,1561805.8,1419163.3
"PosM1_0046","PosM1_CMP_076","C20H33N3O5","Synthetic feature 46",17.308,873.4011,1282467.6,2225201.2,0,907193.5,1607491.2,1094642.9,2822484.6,1550143.5,1697326.3,2871489.4,1516998.7,1451608.6,1430625.6,1427166.2,1589178.1,1418096.3,942594.6,911619.9,811253.8,909836.3,980756.6,365495.4,700962.5,893816.4,680494.9,1234696.5,725194.1,786277.5,1056378,660280.9
"PosM1_0047","PosM1_CMP_013","C25H49N5O4","Synthetic feature 47",13.447,416.3911,698631.9,1034181.4,669723.4,759479.8,699883.2,0,0,0,0,0,1070438.1,1372630,711166.3,1239407.5,1204634.3,0,830922.5,0,0,0,1105550.1,812612.1,1012154.3,1271820.3,767635.1,832466.1,0,921368.4,0,0
"PosM1_0048","PosM1_CMP_049","C16H40N3O7","Synthetic feature 48",16.784,329.2361,3505370.4,2909954.8,4081555.2,3306068,3662180,2259569.9,2891566.1,4120753.1,3189754.2,3450896.8,2679537.6,2562380.3,3655187.9,4251280.5,4851026.7,3505776.1,2795320.1,3591312.8,1786286.6,2701550.4,2482171.7,1820659.8,0,3206427.2,4047590.6,2999121.2,2030052.9,2947264.4,4008649.1,3183517.7
"PosM1_0049","PosM1_CMP_021","C28H11N3O2","Synthetic feature 49",4.429,572.6986,130035.8,253864.4,0,0,269275.9,141008.3,115351.8,192694.3,205915.7,193985.6,202980.1,241587.2,134019.5,205086,129604.6,0,508919.1,410749,270091.4,499944.3,514451.2,257129,293389.8,414152,392241.8,319286,0,430527,285867.3,0
"PosM1_0050","PosM1_CMP_031","C30H14N5O4","Synthetic feature 50",13.76,629.3064,85195.4,173086.5,134638.1,123171.1,89897.5,64153,0,0,0,69733.2,137648.7,111742.2,107658.4,132020.5,140846,0,31647.1,0,0,38624.1,46211.9,43198.1,0,70486.8,0,0,0,33994.7,0,0
"PosM1_0051","PosM1_CMP_038","C7H17N3O5","Synthetic feature 51",6.08,995.1886,232978.8,269450.1,223480.1,207760.1,336645.7,301988.3,382129.2,0,0,0,219784.7,312897.7,138283.3,223403.9,316484.7,0,0,0,0,0,129280.7,178760.7,137225.9,108860.2,187972.4,0,0,0,213529.4,0
"PosM1_0052","PosM1_CMP_038","C15H35N3O7","Synthetic feature 52",8.45,283.5435,3462605.2,2288623.7,2659580.6,3132941.7,3505319.3,3551271.3,5824395.7,2149026.9,4522073.3,3942645.6,3485446.2,3549187.8,3300194,3911307.3,2802062.8,3026587.4,2775022.3,2999122.8,2507993.9,2025328.8,2022313.3,2629041.8,2027158.4,4233099.5,2637017.3,2226093.7,2284104,4226156.9,3697137.9,3586472.5
"PosM1_0053","PosM1_CMP_072","C7H44N0O1","Synthetic feature 53",3.762,568.1283,1053598.1,939893.7,845389,844600.4,798107,107938.5,141390.6,112440.4,119463.2,166080.4,887239.3,885194.6,1423256.2,850467,1089535.6,181221,181723.1,181236.5,246597.5,584957,1698434.6,2051975.2,2674471.5,2354915,2555947,229491.5,310749,236149.9,268792.3,237286.4
"PosM1_0054","PosM1_CMP_010","C29H8N2O4","Synthetic feature 54",12.779,109.3572,1497118.9,1272595,1466620.2,1271173.7,1282513.9,1120405.3,1327892.9,1217647.9,674063.7,910283.9,0,1698942.1,1447152.3,1107005.9,809787.2,2141883.4,1055760.3,1507246.9,1473121.1,0,0,1379788.3,1643440.1,1121751.4,1545419.8,1439326.4,1431857.8,1660798,1595084.1,1411472
"PosM1_0055","PosM1_CMP_043","C19H18N1O7","Synthetic feature 55",10.35,440.4771,298390.3,0,370471.9,212809.4,409437,0,427777.2,327144.4,203614.6,291120.6,241416.5,251408.2,0,327041.6,408822.1,136666.9,0,248762.3,0,180263.1,188446,240643,302128.9,0,251596.9,0,176476.1,318547.6,194555.4,247394.2
"PosM1_0056","PosM1_CMP_078","C8H23N5O9","Synthetic feature 56",11.025,764.8132,536817.1,379067.6,340931.6,363819,457110,313905.9,294910.5,391600.4,390119.3,272823.1,401824.1,252454.3,265799.4,267059.8,234886.3,417112.9,326482.4,376058.3,499421.2,409182.4,393516.9,410635.3,507389.1,440293.4,480132.7,520681.1,405633.4,319298.6,474315.7,342679.4
"PosM1_0057","PosM1_CMP_050","C11H27N2O4","Synthetic feature 57",6.271,534.1795,2602822.1,3221934.8,2836235.8,2930224.6,3481242.3,1791189.6,3262835.3,2490175.9,2394406.6,2656381.1,1984092.1,2781917.2,1525595,2695641.9,4241635.6,1144051.7,1729641.2,1467251.1,880169.4,840986,1483357,1721528.7,917065.8,1123495.5,1789746.5,1051124.4,1508714.8,1635993.4,1159551.9,1655181.4
"PosM1_0058","PosM1_CMP_008","C28H36N1O4","Synthetic feature 58",10.633,308.9381,4059537.1,3197611.4,4378655.7,4101773,0,2930139.7,3196224.6,4158726.5,3325790.8,3216227.2,3603216.1,4473505.6,3022674.6,4795995.6,3499324.8,12867746.6,14022691.3,7602692.2,13318074.4,9342135.6,9327715.1,0,9912518,5175843.9,10879213.9,9347862.1,9418907.2,9037393,0,12747597.8
"PosM1_0059","PosM1_CMP_069","C19H12N4O3","Synthetic feature 59",11.442,568.4947,646853.3,895064.7,0,1064896.4,1739410.2,968458.4,1325170.5,1296236.9,1520089.6,1269576,1062007.8,2155934,1614199.8,1216173.1,1444866.8,2170205.6,2791654.4,3362311.4,1599895.4,2052465.9,3083180.8,2287175.2,1863018.8,2470976.6,2185806.6,1968001.8,2484175.1,1886647.1,1694108.9,2603977.8
"PosM1_0060","PosM1_CMP_048","C30H46N5O9","Synthetic feature 60",9.016,362.8042,261455.7,273055.9,273763.2,333271.7,279075.7,0,254677.7,0,193669.3,0,176203.2,0,275414.6,270228.5,256220.4,0,0,0,465631.9,0,340613.2,570951.8,506139,665259,596923.7,0,413989.3,0,0,0
"PosM1_0061","PosM1_CMP_023","C27H13N5O7","Synthetic feature 61",17.245,128.4245,292547.5,480160.4,0,241291.3,352441.6,351984.2,376060.6,298496,260907.4,444427,224256.5,465905,0,261727.2,315811.1,675436.2,445515.7,588323.9,493485.4,363100.7,405425.5,430009.6,390985.2,422223.1,523755.7,361561.5,383653.1,0,596518.2,554980.1
"PosM1_0062","PosM1_CMP_032","C9H10N1O9","Synthetic feature 62",11.802,199.4606,2267721,1499582.2,1513250.4,0,1068251,1077916.3,2180555.4,1070297.9,1540009.5,816405.5,2108627.3,1572800.3,1677612.1,1088195.8,1805186,1857315.8,1384004.9,1238567.6,2919717.9,1152838.4,1486251.7,1486746.4,1406563.4,1844998.7,1580637.5,1477494.3,1676566.5,1519313.8,1298110.8,0
"PosM1_0063","PosM1_CMP_025","C13H11N0O4","Synthetic feature 63",2.601,448.1452,4516410.7,4830688.7,4729533.8,4900905.4,5922571.3,2653768,2641468.9,2427783.7,2248409.4,2629731.5,5416051.6,4686865.6,2969981,3799487.8,4453496.7,2461512.5,2731777.2,2072897.3,2009042.2,1656303.8,3863652.9,3163643.7,0,2218011.5,4237650.9,2195219.4,2366959,2541299,3042341.3,2077296.1
"PosM1_0064","PosM1_CMP_048","C8H25N4O2","Synthetic feature 64",16.34,258.1362,390832.4,0,281351.7,646626.3,363166.5,298387.1,464227.4,469746.8,526548.4,241980.9,278509.5,258373.5,376161.2,366968.6,417283.7,926443.1,466943.3,575569.4,532034.1,734336.6,863007.6,568088.4,750708.4,0,0,631822.2,498947.7,408477,353294.4,566005.7
"PosM1_0065","PosM1_CMP_079","C8H14N2O3","Synthetic feature 65",13.7,791.1022,276818.2,296893,141632.8,285512.9,225793.2,247483.3,212370.9,280247.1,170587.4,165561.8,266707.4,281531.4,265510.4,251714.8,249457.9,195604.4,141203.1,228293.9,193787,162345.8,154765.9,194909.3,165917.3,274840,197721.2,242910.1,185935.9,151681.8,146547.9,143872.9
"PosM1_0066","PosM1_CMP_005","C19H40N2O1","Synthetic feature 66",11.733,325.0336,330057.6,320949.8,235577,218146.5,548700.9,170092.2,203646.4,233295.4,250614.4,298333.8,224557.6,356734,260291.2,188850.6,241276.4,174925.2,101945.2,109511.5,194781.9,157893.4,323924,248855.1,223165.7,140269.1,118941.6,296339.9,139328.5,152375.8,185383.7,167022.8
"PosM1_0067","PosM1_CMP_016","C30H21N0O7","Synthetic feature 67",1.805,916.8066,265089.5,359508.7,449626.4,335236,301871.1,521790.9,0,377183.8,0,0,371879.6,452778.2,392621.8,566235,365951.8,0,0,0,1158749.6,1295767.8,1025796.7,1569197.1,814094.3,701949.4,1404562.1,1240978.1,1279748,0,0,1187297.3
"PosM1_0068","PosM1_CMP_042","C12H44N4O5","Synthetic feature 68",0.518,733.4348,144959.2,193329.7,207403.8,200751.3,170544.9,212444.5,201596.6,130249.4,182185.8,132290.6,213721.5,117074.5,212445.5,222159.4,196480,0,131401.5,136443.6,198759,124300.2,146239,141003.9,174530.9,148359.5,126506.4,129640.6,133040.1,133818.7,138911.5,173669.6
"PosM1_0069","PosM1_CMP_056","C12H25N3O7","Synthetic feature 69",3.668,338.6513,1251050.9,1524435.5,1040800.2,2297612.2,1121362,1842133.2,1924068.4,1960933,1976994.6,2095299.9,1234692.3,1322347.8,1587383.4,1074566.8,2011421.8,1539221.7,1606961.6,1624679.9,1019061.2,2446357.2,1245921.5,695643.6,1248228.4,790457.9,1175186.3,1334153.1,1209492.3,2158528.1,1651206.6,1090960.1
"PosM1_0070","PosM1_CMP_022","C20H21N1O8","Synthetic feature 70",11.269,462.5452,1567541.8,1485883.2,2623581.6,1779474.1,0,0,1893214.1,2028421.7,1813771.6,2666817.4,1804118.7,3045773.5,3580169.7,0,2888708.7,2620393.9,4105141.6,0,0,0,0,4106271.9,4152327.5,6594113.4,4404683.9,4645093.1,6180137.2,5200280.8,4127457.8,5802365
"PosM1_0071","PosM1_CMP_065","C7H48N5O7","Synthetic feature 71",8.992,614.744,155746.5,231820.1,0,0,229668.4,275401,0,218268.3,253758.9,212241.2,0,177288.1,170086.6,0,265518.5,335225.7,398792.7,0,396929.1,333466.6,230040.2,521746.9,554751.2,250170.6,450513.7,458897,386459.1,0,0,529671.2
