"Precursor.Id","Protein.Group","Genes","Proteotypic","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"Frac2_PEP0015_2","SYN0022","GENE0022",0,NA,467213.3,NA,764076.3,534165.2,NA,NA,NA,NA,NA,395173.9,895642.2,812557.3,620373.4,639402.1,NA,674834.9,614726.7,NA,NA,NA,503750.8,507175.5,464030.3,689121.4,NA,NA,801621.9,555138.3,NA
"Frac2_PEP0016_2","SYN0025","GENE0025",0,2626179.4,NA,2286834.2,NA,2604482.5,1620279.4,3056152.2,2833321,2711305.1,NA,2823596,1781577.8,1772435.5,1894742.1,1914016.5,NA,1952095.2,NA,2078945.3,1617790.3,1438394.2,1070414.2,944876.6,1794750.5,1783883.8,1842726.3,NA,2080915.4,1575815.7,2012641.1
"Frac2_PEP0017_2","SYN0002","GENE0002",1,NA,1297485.4,882065.7,NA,530173.7,776763.8,917912.4,1048444.8,778151.4,803043.3,623381.7,760881.9,617372.3,NA,NA,1024295.4,704318.5,1277222.1,NA,NA,1109268.8,1126999.7,896194,NA,1029513.6,913398.4,1074646.7,920857.3,NA,1188246.3
"Frac2_PEP0018_2","SYN0066","GENE0066",0,1353270.7,1467918.5,1010628,894666.9,579786.6,706659.2,1026389.2,NA,NA,NA,900677.1,711637.1,1102524,816836.8,1332662.6,NA,NA,1475374.2,NA,NA,2559355.3,2342537.3,1018247.5,1385260.1,2077280.1,1979128.8,NA,NA,NA,1926547.4
"Frac2_PEP0019_2","SYN0091","GENE0091",1,617267.9,NA,497716.6,NA,748742.6,666751.9,304740.8,372999.6,589389.4,NA,NA,678569.6,382568.2,NA,609399.2,1074735.5,683870,707485.1,909864.9,1155237,819666.4,948983,829245.9,860582.6,NA,760485.5,1152604,952668.5,1057330.9,984082.6
"Frac2_PEP0020_2","SYN0079","GENE0079",0,4857365,4445823.7,5170524.6,3599546.7,5632994.1,8343082.2,3624489,3495249,3855227.6,8561804.8,3835422.7,3130979.5,3457110,4747631.5,4939890.8,2054805.3,3618495.4,2237827.6,1806283.5,2778347.3,1468857.6,3025279.2,2086982.7,2210757.2,1864181.6,2222982,2366226,2133431.5,2055310.8,2140799
"Frac2_PEP0021_2","SYN0047","GENE0047",0,NA,506266.5,365217.2,237793,328155.4,292606,319407.8,NA,323759.8,265442.7,362481.3,320551.2,488702.4,248717.9,371713.9,290904.4,310976.2,259723.7,NA,309556.1,241576.6,NA,392108.1,371160.1,NA,207638.1,212272.6,314842,455279.8,NA
"Frac2_PEP0022_2","SYN0133","GENE0133",1,1257658.8,896795.3,801784.2,1399496.1,1336698.9,1115541.3,1212408,1193674.6,NA,1252551,927542.1,1241396.8,870576.2,NA,1021286.1,889406.6,609357.2,903288.1,447644.5,740717.6,NA,696371.7,812823,644884.1,805392.4,436552.3,NA,804308.4,750866.2,753329.7
"Frac2_PEP0023_2","SYN0019","GENE0019",0,213197.3,211439.5,183142.3,265232.1,271028.4,253681.1,256376.4,167287.6,219269.9,292982.4,167010.1,208146.5,231816.8,201844.5,252207.3,408130.3,329239.7,538409.8,397101.8,206115,404267.9,326123,561543.3,408085,279436.8,301064.7,400113.8,532268.4,492626.2,607137.6
"Frac2_PEP0024_2","SYN0003","GENE0003",1,1657800.5,2068790,1470204.4,1473494.9,1558668.2,2332740.5,1492812.7,NA,1872238.5,NA,1465954.1,1725565.2,1718934.2,2293070,NA,NA,2828948.4,NA,NA,NA,NA,2553892.5,2289207.5,3707894.4,4869010.9,NA,NA,NA,2684002.3,2044330.9
"Frac2_PEP0025_2","SYN0032","GENE0032",0,1569956.7,2206187.5,3407435.5,3333209.6,2363650.4,1797129.7,2562045.7,2121665,2363003.1,2442694.1,3221289.1,3639265,1838120.9,2863335.5,2274830.3,486073.9,551654.3,736900.5,1206066.3,868459.1,739678.8,863463,698985.5,887822.9,NA,720185.4,1117652.1,824490.5,773137.9,874677.1
"Frac2_PEP0026_2","SYN0128","GENE0128",1,1136771.1,467191.3,495053.6,457656.6,605625.2,NA,NA,NA,701796.6,NA,534586,743584.9,433177,476116.7,668937.5,999880,NA,578372.6,NA,709880.2,793204.1,435187.1,1114991.3,803709.4,824122.1,703342.2,NA,982446.4,NA,1334345.9
"Frac2_PEP0027_2","SYN0024","GENE0024",0,4181586.4,8634588.3,6686212.8,8751553.3,6683984.8,6937046.8,9404127.6,5703297.3,5974716.6,7306506.7,NA,7185477.5,12273040,8957194.4,5910772.9,5949604.1,5805693.2,6108639.6,NA,7934580.1,6802012.7,3196775.5,7090393.5,4774590.4,7357239.6,3291966.1,NA,6912533.9,6660015.3,10985966.9
"Frac2_PEP0028_2","SYN0084","GENE0084",0,11291691,14212270.7,8033474.4,8906100,9209687.1,31306489.5,24143532.5,NA,NA,NA,13121784.4,14594385.2,8316770.6,7997091.8,8934648.5,NA,NA,NA,25429118,NA,6434631.2,7556236.6,9108392.2,6080821.8,7369311.7,17902905.3,23980396.3,NA,NA,NA
"Frac2_PEP0029_2","SYN0031","GENE0031",0,NA,597413.7,1121971.7,1068537.2,885266.6,716507.8,1034005.6,NA,938846.6,934373.2,901358.1,1261071.5,862528.6,946887.8,1022189.4,NA,NA,1263374.4,868798.6,1242100.2,846320.9,916093.1,1083606.4,1067095.6,1486531.4,886797.3,NA,990821.7,NA,822371
"Frac2_PEP0030_2","SYN0025","GENE0025",0,910232.6,NA,1357523.9,912319,1130733.2,NA,3621549.3,3735820.2,4059703.6,NA,1045580.8,858367.9,1232354.2,1291379.8,1181300.3,NA,3738279.3,NA,NA,NA,1073950.5,1068247,1170894.5,806977.1,714943.8,NA,NA,3047704.4,NA,NA
"Frac2_PEP0031_2","SYN0088","GENE0088",0,247334,162098.2,248445.1,238450.7,288132.6,183626.8,117972.5,142976.9,127231.6,190701.5,226790.9,319669.6,226063.5,361671.7,330346.4,56260.3,69430.5,59604.8,71380,NA,156909.7,241359.9,186291.8,94151.6,126693.1,66093.5,52590.7,56396.1,68205.2,64867.8
"Frac2_PEP0032_2","SYN0102","GENE0102",0,3963965.2,4303425.9,6429501.3,3501961.4,5049809.3,2832766.5,3501274.6,5976481.6,5563310.5,2794831.6,2025325.8,4197028.4,2744300,3805695.4,NA,3888366.2,2994875.9,8291691.5,4418319.5,4662990.7,2749904.6,4400829,4901272.9,3624187.4,NA,4780651.4,4275659.5,3243596.1,4586497.4,4092328.7
"Frac2_PEP0033_2","SYN0081","GENE0081",1,428459.4,520283.9,467825.8,NA,493722.4,523051.7,243553.9,293217.2,421512.3,398700,544261.6,461203.7,414719,473469.7,576659.2,206202.5,133980.9,170793.8,339487.4,133228.9,163227.6,112470.1,202423.4,223553.5,NA,105578.9,213062.4,188413.7,130646.6,118674.6
"Frac2_PEP0034_2","SYN0024","GENE0024",0,771750.7,961505.8,1422904.1,1006376.5,1395402.3,1256782.8,1771486.3,849353.1,792985.1,1216656.2,1165297.2,1646827.4,NA,1334730.3,900070.7,517412,609781.7,1106318,598367.1,733449.2,596968.9,422392.2,426047.1,518305.7,778376.4,731553.9,545158.3,663180.2,674531.1,748369.1
"Frac2_PEP0035_2","SYN0042","GENE0042",1,515354.6,440445.3,448009.6,546851.4,712851,NA,86526.7,128848.6,NA,NA,573045.4,733304.4,600006.8,739888.2,699988.9,356303.5,NA,NA,NA,460424.8,1331405.9,1306776,2019444.7,2002509.7,1584411.5,816300.4,NA,NA,NA,383547
"Frac2_PEP0036_2","SYN0014","GENE0014",1,1620415.4,1483664.1,1571342.6,1633042.4,2063817.1,2810253.8,NA,2538955.6,NA,1571707.2,1707875.4,1527789.4,1965686.6,1992517.3,2459051.8,1259828,1305280.5,NA,NA,NA,1897421.2,985922.6,1506221.4,1586026.4,1946359.4,1559498.9,1983326.4,NA,NA,1712241.6
"Frac2_PEP0037_2","SYN0007","GENE0007",0,4859799.9,3421839.5,4679056.5,5156997.9,5011631.7,4547871.1,5074698.8,4623892.9,5158897.5,5903675.6,4958689.6,NA,3942100.2,6713312.9,4500424.2,10436485.8,7476386.6,11400255.4,6577135.5,6292524.6,4704811.5,4298317.3,9008575.9,10119459,7013009.3,7517662.3,8351961.1,10119373.6,7764876.2,9042799.6
"Frac2_PEP0038_2","SYN0119","GENE0119",1,2485124.1,1735968.3,1694059.7,1386441.9,1230602.4,1282500.9,2353020.3,1669850.8,1407105.3,2686102.8,1479740.2,2285851.5,2141287.9,2472587.1,1469103.6,1711867.7,1821779.7,957605,2192356.2,1497773.4,2298744.6,1286937.6,1264835.1,1445505,1544416.1,1308604.6,1270063.8,1453680.1,1443988.7,1366139.6
"Frac2_PEP0039_2","SYN0092","GENE0092",1,588576.4,381121.7,883340.1,706605.3,642602.9,535284,418794.8,525668.4,485541.4,460954.4,492564.2,571189.9,426002.1,393066.4,536308.7,98505.1,248083.2,152491.7,131573.5,232839.9,152252.1,227585.1,171891.9,298181.8,158087.1,158811.7,90022.2,145083.2,188190.1,207727.6
"Frac2_PEP0040_2","SYN0059","GENE0059",1,2471051.4,4277826.7,4200399.4,3167745.3,2764024.6,NA,NA,NA,2731267.3,3607091.4,3509576.1,3847179.1,4269016.3,NA,3103267.9,1280719.3,1093140.2,NA,1093857.6,1635161.2,1709848.7,969057.4,1130569.5,864319.5,1061176.9,1156722.6,1167018.4,NA,1482803.3,NA
"Frac2_PEP0041_2","SYN0099","GENE0099",0,3574942.5,3866173.8,5427043.6,6222022.5,5645781.6,5776518.7,5012337.1,4797888.1,4246281.4,3633354.7,4696979.7,4648022.3,6415931.4,4815079,4687683.6,3891654.2,5463055.6,3900929.1,3055974.7,4032051.8,8239589.9,6142587.2,6967765.3,4665052.3,NA,4798542.4,5174403.5,3811988.4,3880538.3,4789812.8
"Frac2_PEP0042_2","SYN0025","GENE0025",0,161069.3,151022.7,NA,162988.3,183427.4,187147.6,155927.5,216898.4,155841.1,163429.6,158217.3,204193.2,182098.1,200055.4,306082.8,475429.8,372806.1,414169.3,340115.4,441706.9,389533.9,494855.4,NA,360096.5,276804.2,517861.6,NA,392159.3,448529.8,373672.5
"Frac2_PEP0043_2","SYN0131","GENE0131",0,147579,167707.8,254472,169493.5,256000.1,249316.7,202869,189478.4,231592,186767,204410.1,163016.1,223548.3,140512.4,282994,219701.3,176136.6,195478.2,182809.7,126692.9,168852.4,120103,154876.8,123915,180100,197354.2,126491.5,136946.8,NA,167406.1
"Frac2_PEP0044_2","SYN0043","GENE0043",0,5095917.7,5753530.4,6301582,6651910.2,NA,5944964.5,7487929,10298502.7,6560290.7,6801526.4,6158056.4,6253662.5,8730112.2,6175699.6,6317618.6,4258776.2,4272404.3,4602860.5,5078147.7,2352229.1,2874911.2,3160548.2,3431026.4,3399949.1,3219466.8,NA,3081768.2,5420314.7,3388680.5,3978244.7
"Frac2_PEP0045_2","SYN0124","GENE0124",1,4406137.3,4362583.1,4664986.7,2829912.9,3726582.7,1764601.3,2237843.1,NA,2095778.9,2558274.9,3382069.4,4820583,4128856.5,3989310.9,3182840.6,5010631.6,6164307.7,4017834.5,6948483.6,5016099.3,8187285.6,9890119.8,10234145.6,9271730.9,6666504.9,4022840.1,5372755.4,3895845.3,3700738.6,5229290.8
"Frac2_PEP0046_2","SYN0119","GENE0119",1,5291777.5,6234073.3,4592049.6,3922137.8,7098405.8,4959684.9,6318158.7,4255227.2,5089121.7,4260643.6,6203728.4,5128374.1,4006437.3,4577139.1,3948847.7,14701931.7,13560184.8,8530575.5,12454892,11174211.4,9587224.1,NA,9986344.4,10805137.1,11287718.8,12695720.3,14669228.4,14723496.3,12031757.7,11056358.5
"Frac2_PEP0047_2","SYN0126","GENE0126",0,592542.7,NA,NA,662508.5,387185.1,427184.8,432313.4,310707.9,674246.3,562264.2,494200.9,551577.1,NA,NA,554172.8,292914.3,390236.3,245192.2,NA,237271.1,365300.1,406036.7,NA,408111.8,395113.5,NA,393667.1,343297.1,302565.4,338355.9
"Frac2_PEP0048_2","SYN0048","GENE0048",1,144978,196583,178706.9,128792.1,192073.3,NA,NA,75063.8,NA,NA,147063.2,108380.6,120884.5,217346.5,140113.7,NA,135802.1,NA,NA,117595.3,229890.8,191013.7,291112.5,225114.1,174952.3,NA,NA,105579.6,NA,NA
"Frac2_PEP0049_2","SYN0106","GENE0106",1,372738.3,470951.1,442518.5,265454,414882.7,312635.3,NA,NA,226801.8,NA,288275.4,659276.3,NA,473490.5,489397.4,NA,688030.7,432286.4,NA,NA,876391.5,945564.2,404665.2,519379.2,1313129.8,NA,NA,419209,NA,487911.2
"Frac2_PEP0050_2","SYN0009","GENE0009",0,1926486.1,2266283.9,3007186,2779824.1,2764994.6,1937189.6,2854976.2,2245062.4,2426791.4,2619452.9,2082045.3,3363906.1,2184473.5,2253055.3,3257547.7,5274109,4396819.8,4057353.1,5104295.7,5119256.8,3543712.2,6554081,5181072.6,3687966.8,2604161.9,4952509.1,4868089.5,4513305.9,5015537.6,3241781.9
"Frac2_PEP0051_2","SYN0062","GENE0062",0,2161234.5,1867545.9,2199336.6,1618550.8,1712821.4,559921.7,543265.4,868670.6,407365.3,1047781.2,2422695.4,2714303.3,3030912.3,2792282.5,2620896.6,459987.1,522990.5,680820.9,564961.4,483711.2,3225317.3,2024639.6,1891672,1797457,2578451.8,401086.3,698597.1,654565.3,432747.3,404425
"Frac2_PEP0052_2","SYN0106","GENE0106",0,5944981.7,6448532.8,NA,3483193.5,5470864.3,4382175.5,NA,NA,NA,NA,4374539.8,4374434.3,3685836.2,5284165.8,4746701,NA,NA,NA,NA,6017650.1,7694370.7,6018201.5,8009716.1,7118441.1,5047018.9,NA,3995222.6,NA,10548498.9,5104781.6
"Frac2_PEP0053_2","SYN0100","GENE0100",1,2865109.7,1879212,3346355.3,2413358.9,3725733.7,2746547.2,2730873.4,3380610,2167105.3,2462951.4,3057560.6,3264263.8,3167758.6,2953129.7,3135498.4,1868857.1,2162601.7,1062151.8,2433600.9,1610457.2,1935969.6,1763357.2,2435220.8,1872574.1,3540543.8,1975877,2541383.4,1448582.6,2387562.7,1969933.8
"Frac2_PEP0054_2","SYN0102","GENE0102",1,NA,NA,6178095.4,9779613,5584365.2,NA,NA,NA,7166911.8,5365067.8,5049176.3,4162206.9,6486218.9,8763366.3,5738723.9,NA,NA,7486073.1,NA,NA,22338355.5,11169312.3,16374209.6,13807166,11396740.3,14689445.9,NA,NA,NA,NA
"Frac2_PEP0055_2","SYN0030","GENE0030",1,613384.4,335450.4,281645.5,352045.1,366041,260624.8,324701.3,249081,195437.6,268198.6,382567.6,365343,315475.6,498044.7,371696,NA,208372.8,142059.3,147427.3,169755.9,279059.7,401769.5,300916.2,421294,347784.2,145271.9,NA,298174.2,183965.8,110970.2
"Frac2_PEP0056_2","SYN0108","GENE0108",0,500762.2,295041.2,391043.3,428737,445295.9,614798.6,NA,405100.5,NA,263610.4,366688.6,358315.4,361542.3,470861.3,315463.8,NA,NA,NA,NA,89237.7,80732.2,73233.3,77569.3,66794,109206.8,70578.4,NA,NA,95491.5,NA
"Frac2_PEP0057_2","SYN0128","GENE0128",0,102586.6,127771.1,114426.9,187579.8,155859.9,118026.6,NA,NA,NA,NA,142296.2,177426.3,211068.6,131494.4,103175.3,NA,61577,47083.2,56088.3,NA,47845.5,30646.8,64542.9,40536.8,33437.6,NA,NA,NA,NA,NA
"Frac2_PEP0058_2","SYN0120","GENE0120",0,2325462.2,2998351.6,4091779.8,3394431.3,3821823,2335325.8,2811320.7,3555568.9,2797911.4,NA,2596773.1,2582457.8,3694189.7,2234959.9,NA,1626312.4,2419733.5,2361396.3,2648257.9,2984902.8,2583443,2006849.7,3126503.4,2156733,1947483.8,2785344.5,2656100.6,2415132.2,2949322.6,2941505.4
"Frac2_PEP0059_2","SYN0119","GENE0119",1,410560.8,581137.8,359460.5,582207,390882.1,510105.1,325567.9,600515.3,519911.5,706341.9,471504.6,474990.3,774986.1,369248.5,334866.5,1279816.5,1779323.6,1664651.2,949493.9,1831937.2,1046214.6,889806.9,987417,1093659.6,1062378.8,1734692,1101512.9,1064813.3,983286.1,1478503.6
"Frac2_PEP0060_2","SYN0105","GENE0105",1,69922.3,65984.9,52228.5,62509.3,68603,77783.4,71083.5,49462.2,45278.9,99078.9,72744.4,80644.6,80591.7,73825,53745.6,36205.9,46092.2,44249.3,32229.5,59804.2,36820.5,58693.9,58284.7,61740.8,60740.3,45852.6,82225.9,44432,62769.8,38816.3
"Frac2_PEP0061_2","SYN0123","GENE0123",0,12769534.8,6578072.8,13127948.3,11458451.2,17978532,7938883.2,6232440,14597844.1,8308337.1,9661265.2,8099373.5,9317728.3,9161610.2,10391856.9,10877421.9,11757575.9,15754225,12169886,12619608.4,13116756.9,15091053.7,14842731.3,16134401.5,12797727.2,18121961.3,10735602.3,14133126.6,15029117.8,11866923.1,10085155.1
"Frac2_PEP0062_2","SYN0031","GENE0031",1,1027295.5,1447483.6,905654.9,968324,611612,NA,897877.8,NA,785565.4,NA,691319.3,1008847.7,555076.1,662626,NA,NA,684119.8,NA,421601.4,403022.5,426252.9,462376.1,372455.9,441668.8,326097.1,588664.9,NA,NA,NA,NA
"Frac2_PEP0063_2","SYN0080","GENE0080",1,7959827.3,7123554.2,6534141.5,6874541.7,7660516.5,8819565.3,5089769.4,6370299.5,11433640.5,8466624.4,7665076.9,5610512,7134465.4,6999094.8,8593733.2,3658617.6,NA,3990762.5,3849053.4,4389152.3,2327676.1,4754963.9,3783309.8,3879251.6,3339761.5,3402027.2,5111477.8,3483293.7,NA,3713817.6
"Frac2_PEP0064_2","SYN0107","GENE0107",0,100768.2,145195,151432.8,142819.8,180700.6,332276.2,314824.4,396806.8,367326.3,260966.5,176315.7,219550.6,187935.7,119018.6,120628.6,801230.4,600286.7,421901.1,584469.8,521922.5,287471.1,227465.9,287170,248360.6,NA,502922.9,544095.3,550573.3,636500.3,327248.4
"Frac2_PEP0065_2","SYN0073","GENE0073",1,189563,162987.7,293789.8,247209.6,354745.5,NA,NA,233093.1,NA,NA,NA,305831.5,200935.4,326052.7,182995.9,NA,368209,NA,NA,NA,269059.8,487066.2,343746,268580.1,392212.5,420975.9,NA,NA,281427.1,209794.1
"Frac2_PEP0066_2","SYN0068","GENE0068",0,6272703,4342558.8,5028512.1,NA,NA,6343197.1,5891107,8417244.1,8019228.6,3871618.1,6999744.2,6095503.3,NA,7481496.1,6270724.2,5327463,NA,5250514.5,3163044.9,5801291.9,6001097.5,4468301.6,5072798.9,5065406.8,4575338.8,3220621.9,NA,3603244.8,7759933.7,4414223.9
"Frac2_PEP0067_2","SYN0003","GENE0003",1,436696,642350.3,574199.3,638330.1,355011.6,547276.8,472826.1,412110.5,436068.3,514848.2,368403.1,470932.2,422160.7,345882.2,NA,393776.8,234364.8,349820.6,229018.5,200064,323268.4,227571,330167.5,307825.6,218142.5,146969.2,261473.2,215550.5,303658.5,189783.8
"Frac2_PEP0068_2","SYN0104","GENE0104",1,428956.5,305551.9,571181.3,413193.6,684705.1,61285.7,103877.8,78413.8,82874.4,138174.2,596318.3,527092.8,512376.1,377740,504401.3,68405.1,70600.1,44877.9,62827.1,100369.7,345211.8,457215.9,308130.9,299270.7,403061.9,68095.5,81080.4,50012.7,99619.5,81024.5
"Frac2_PEP0069_2","SYN0121","GENE0121",1,1846141.9,1592979,NA,2483246.2,NA,NA,1652116.6,2828844.7,2047794.1,1506275.1,2406179,1820831.2,1819076.4,1815803.3,2468157.3,NA,2696812.3,3417221.4,2049319.4,NA,2865908.3,NA,NA,NA,NA,1678534.7,2062145.5,1915824.8,3639615.1,2784274.9
"Frac2_PEP0070_2","SYN0004","GENE0004",1,646591.3,857504.8,796684,471519.2,922998.9,803756.1,848878.6,963036.9,713626,784120.2,929557,765029.7,639020.6,569937.9,1098190.5,576648.6,846793.2,1055282.4,1088249.7,1033647.4,794212.4,957924.4,974233.6,952198.4,1149594.6,887977.6,754053.5,827661.4,817494.2,1148776.1
"Frac2_PEP0071_2","SYN0022","GENE0022",0,2375887.3,2563290.4,3013200.6,2454050.4,3066403.6,3513816.4,3624241.1,4911199.9,5846122.6,7165901.6,2397335.5,3861382.3,2208322.4,1745747.7,2529059.8,3145238.2,2691737.6,3832739,2620509.8,1842926.2,1560445.8,1683637.9,1430646.2,1251616.8,1820760,3371718.9,3165115.5,3157129.7,2150986.7,2701589.1
"Frac2_PEP0072_2","SYN0044","GENE0044",1,3896538.3,2752313,2594850.2,3816474.3,5021111.2,3889061.8,2908814.1,3856487.1,3950117.1,6018006.7,1708225.5,3318573.5,2910721.7,3214829.6,3665210.9,787851.4,1211091.1,1145313.1,1319999.7,804720.2,1169588.7,852914.8,1875140,1219161.2,1174990.9,1348256.5,973563,1237867.2,1542397,699928.7
"Frac2_PEP0073_2","SYN0018","GENE0018",0,NA,258264.2,432973.4,316261.3,331067,366298.7,429690.9,354389.9,357777.6,291335.4,NA,380924.7,336602.8,NA,246712.7,473197.8,465055.8,455475.4,580265.1,331829.6,452549.4,347303.7,438873,559628.5,368048.4,657150.1,612736.7,354621.6,528855.1,534339.9
"Frac2_PEP0074_2","SYN0071","GENE0071",0,624289.8,806464.3,1021339.7,1013311,994405.5,826549.6,NA,NA,NA,NA,989000.6,754820.9,547973,1748965.9,697794.7,1411362.4,1805797,2484210.6,NA,NA,1480222.1,1384465.4,2113440.8,1848615.9,1882328,1069143.2,NA,NA,NA,1537631.9
"Frac2_PEP0075_2","SYN0054","GENE0054",0,1573338.8,955961.7,1287089.2,2398011.8,2260042,2080660.8,1638383.5,2372291.3,NA,1159208.4,NA,2229282.3,1581847.9,1564192.4,NA,NA,2979363.6,NA,4531514.9,NA,3926382.8,NA,3526286,NA,2491737.8,2584310.9,3026812.1,3474839.7,2453122.3,2562450.7
"Frac2_PEP0076_2","SYN0012","GENE0012",0,341010.1,322940.8,222891.2,236334.5,296218.8,170748.1,201696.5,220605.1,238493.1,323828,302824.3,254426.8,444501.5,451162.1,NA,565028.5,272283.3,449206,396013.7,604443.8,273092.8,431604.2,418093.2,434956.2,433321.7,258148.2,451823.1,331156.3,445218.2,484171.8
"Frac2_PEP0077_2","SYN0078","GENE0078",0,528403.9,343185.9,559495.6,393445.9,340131.9,788534.4,375460.5,583145.2,496594.6,479210.8,433616.9,367342.2,364007.6,454991.2,501785.1,144353.3,133623.8,169063.8,147621.8,129600.4,250883.2,207885.8,183233.4,189793.6,197298.1,287042.1,149101.6,167449.8,273724.2,227281
